,name,link,title
59,thehill,http://thehill.com/policy/technology/409099-elon-musk-to-step-down-as-chairman-of-tesla,Elon Musk to step down as chairman of Tesla
60,thehill,http://thehill.com/blogs/blog-briefing-room/news/409097-track-palin-arrested-on-new-domestic-violence-charges-appears,"Track Palin arrested on new domestic violence charges, appears in court"
61,thehill,http://thehill.com/homenews/senate/409098-trump-renews-attack-against-blumenthal,Trump renews attack against Dem Sen. Blumenthal
62,thehill,http://thehill.com/blogs/in-the-know/in-the-know/409094-stephen-king-on-kavanaugh-hearing-ask-yourself-who-has-more,Stephen King on Kavanaugh hearing: 'Ask yourself who has more motivation for lying'
63,thehill,http://thehill.com/homenews/campaign/409095-warren-i-will-consider-running-for-president-after-the-midterms,Warren: I will consider running for president after the midterms
64,thehill,http://thehill.com/opinion/judiciary/409076-modern-witch-hunt-brett-kavanaugh-as-john-proctor-from-the-crucible,Modern witch hunt: Brett Kavanaugh as John Proctor from 'The Crucible'
65,thehill,http://thehill.com/homenews/senate/409093-poll-shows-split-views-on-kavanaugh-ford-after-dramatic-hearing,"Poll shows split views on Kavanaugh, Ford after dramatic hearing"
66,thehill,http://thehill.com/blogs/in-the-know/in-the-know/409092-jason-isbell-talks-support-for-dem-senate-candidate-says-jesus,"Jason Isbell talks support for Dem Senate candidate, says 'Jesus would not have voted' for Trump"
67,thehill,http://thehill.com/business-a-lobbying/409062-kavanaugh-1982-calendar-entry-could-be-examined-in-fbi-investigation,Kavanaugh 1982 calendar entry could be examined in FBI investigation
68,thehill,http://thehill.com/homenews/senate/409072-sanders-calls-for-fbi-to-investigate-whether-kavanaugh-told-truth-in-hearing,Bernie Sanders calls for FBI to investigate whether Kavanaugh told truth in hearing
69,thehill,http://thehill.com/homenews/media/409073-bill-maher-thanks-bannon-for-appearing-on-show-says-volumes-why-republicans,Bill Maher thanks Bannon for appearing on show: 'Says volumes why Republicans are in power and we have none'
70,thehill,http://thehill.com/homenews/senate/409015-kavanaugh-friend-will-cooperate-with-confidential-law-enforcement,Kavanaugh friend says he'll cooperate with 'confidential' law enforcement investigation
71,thehill,http://thehill.com/homenews/media/409063-cbs-subpoenaed-over-moonves-allegations,CBS subpoenaed over Moonves allegations
72,thehill,http://thehill.com/policy/international/asia-pacific/409083-north-korea-no-way-we-will-disarm-without-trust-with-us,North Korea: 'No way' we will disarm without trust in US
73,thehill,http://thehill.com/policy/international/middle-east-north-africa/409086-iranian-diplomat-accuses-netanyahu-of,Iranian diplomat accuses Netanyahu of 'smokescreen' with secret nuclear facility claims
74,thehill,http://thehill.com/homenews/administration/409059-trump-admin-asks-court-to-block-deposition-for-wilbur-ross-in-2020,Trump admin asks court to block deposition for Wilbur Ross in 2020 census case
75,thehill,http://thehill.com/policy/finance/409056-top-cfpb-official-blasts-colleague-over-blog-posts-dismissing-racism,Top consumer bureau official blasts colleague over blog posts dismissing racism
76,thehill,http://thehill.com/homenews/senate/409061-biden-hits-gop-for-invective-blind-rage-and-brute-partisanship-in-kavanaugh,"Biden hits GOP for 'invective, blind rage and brute partisanship' in Kavanaugh hearing"
77,thehill,http://thehill.com/opinion/campaign/409080-the-texas-senate-race-should-frighten-the-republican-party,The Texas Senate race should frighten the Republican Party
78,thehill,http://thehill.com/blogs/in-the-know/in-the-know/409052-samuel-l-jackson-responds-to-viral-kavanaugh-pulp-fiction-clip,"Samuel L. Jackson responds to viral Kavanaugh, 'Pulp Fiction' clip"
79,thehill,http://thehill.com/opinion/energy-environment/409002-the-global-climate-refugee-crisis-has-already-begun,The global climate refugee crisis has already begun
80,thehill,http://thehill.com/opinion/technology/408993-on-the-cusp-of-a-transformational-space-technology,On the cusp of a transformational space technology
81,thehill,http://thehill.com/opinion/immigration/408813-immigration-under-trump-if-you-cant-afford-it-dont-come,"Immigration under Trump: If you can’t afford it, don’t come"
82,washingtontimes,http://washingtontimes.com/news/2018/sep/29/trump-fbi-probe-could-be-blessing-disguise-suggest/,"Trump: FBI probe 'could be a blessing in disguise,' suggests Feinstein leaked Kavanaugh allegation"
83,washingtontimes,http://washingtontimes.com/news/2018/sep/29/donald-trump-mocks-dianne-feinstein-her-body-langu/,Donald Trump mocks Dianne Feinstein: Her ‘body language’ suggests she’s anti-Kavanaugh leaker
84,washingtontimes,http://washingtontimes.com/news/2018/sep/29/leland-keyser-to-tell-fbi-she-has-no-knowledge-of-/,Leland Keyser to tell FBI she has no knowledge of Kavanaugh or party
85,washingtontimes,http://washingtontimes.com/news/2018/sep/28/gop-agrees-week-long-delay-kavanaugh/,Trump orders FBI to probe Supreme Court nominee Kavanaugh
86,washingtontimes,http://washingtontimes.com/news/2018/sep/29/muellers-office-cites-watergate-precedent-support-/,Mueller's office cites Watergate precedent in defending special counsel's authority
87,washingtontimes,http://washingtontimes.com/news/2018/sep/27/poland-fort-trump-offer-aims-cement-us-military-ti/,Poland ‘Fort Trump’ offer aims to cement U.S. military ties
88,washingtontimes,http://washingtontimes.com/news/2018/sep/27/kirsten-gillibrand-2020-democrats-latch-christine-/,"Kirsten Gillibrand, 2020 Democrats latch onto Christine Blasey Ford’s political coattails"
89,washingtontimes,http://washingtontimes.com/news/2018/sep/29/syria-demands-us-foreign-troops-withdraw/,"Syria demands U.S., foreign troops withdraw"
90,washingtontimes,http://washingtontimes.com/news/2018/sep/27/house-judiciary-committee-subpoenas-mccabe-memos/,House Judiciary Committee subpoenas McCabe memos
91,washingtontimes,http://washingtontimes.com/news/2018/sep/27/glenn-simpson-fusion-gps-co-founder-refuses-speak-/,"Glenn Simpson, Fusion GPS co-founder, refuses to speak to House investigators"
92,washingtontimes,http://washingtontimes.com/news/2018/sep/29/donald-trump-jokes-he-and-kim-jong-un-fell-love/,Donald Trump jokes he and Kim Jong-un ‘fell in love’
93,washingtontimes,http://washingtontimes.com/news/2018/sep/29/chuck-grassley-asks-fbi-probe-false-allegation-aga/,Chuck Grassley asks FBI to probe false allegation against Brett Kavanaugh
94,washingtontimes,http://washingtontimes.com/news/2018/sep/29/nancy-pelosi-slams-hysterical-brett-kavanaugh-disc/,"Nancy Pelosi slams ‘hysterical’ Brett Kavanaugh, discusses potential impeachment proceedings"
95,washingtontimes,http://washingtontimes.com/news/2018/sep/29/upcoming-supreme-court-term-lacking-blockbusters/,Upcoming Supreme Court term lacking blockbusters
96,washingtontimes,http://washingtontimes.com/news/2018/sep/29/andrew-gillum-campaign-loses-manny-orozco-ballesta/,Andrew Gillum campaign loses Manny Orozco-Ballestas after offensive tweets emerge
97,washingtontimes,http://washingtontimes.com/news/2018/sep/29/at-72-cher-enjoying-a-creative-patch-with-tour-cd-/,Cher admits wanting to get Kennedy honor during Obama years
98,washingtontimes,http://washingtontimes.com/news/2018/sep/28/lindsey-graham-unfazed-by-anti-kavanaugh-activists/,Lindsey Graham unfazed by anti-Kavanaugh activists: ‘These people can yell all they want’
99,washingtontimes,http://washingtontimes.com/news/2018/sep/28/nancy-pelosi-trump-trying-break-metoo-movement/,Nancy Pelosi: Trump trying to ‘break the #MeToo movement’
100,washingtontimes,http://washingtontimes.com/news/2018/sep/28/judge-allows-democratic-emoluments-lawsuit-proceed/,Judge allows Democratic 'emoluments' lawsuit to proceed against Trump
101,washingtontimes,http://washingtontimes.com/news/2018/sep/28/capitals-look-sharp-lose-overtime-hurricanes/,"Capitals’ top players look sharp, but Hurricanes win in overtime"
102,washingtontimes,http://washingtontimes.com/news/2018/sep/27/bryce-harper-had-keys-to-the-city-but-never-fully-/,"Bryce Harper had keys to the city, but never fully opened the door"
103,washingtontimes,http://washingtontimes.com/news/2018/sep/27/nfl-teams-content-ditching-initial-plans-start-roo/,NFL teams content with ditching initial plans to start rookie QBs
104,washingtontimes,http://washingtontimes.com/news/2018/sep/27/trea-turner-realizing-his-potential-unique-skill-s/,Trea Turner realizing his potential with unique skill set
105,washingtontimes,http://washingtontimes.com/news/2018/sep/29/tesla-ceo-elon-musk-company-settle-fraud-suit-for-/,"Tesla CEO Elon Musk, company settle fraud suit for $40M; he steps down as chairman"
106,washingtontimes,http://washingtontimes.com/news/2018/sep/29/womens-march-announces-2019-rally-wake-kavanaugh-a/,Women's March announces 2019 rally in wake of Kavanaugh allegations
107,washingtontimes,http://www.washingtontimes.com/news/2018/sep/29/leland-keyser-to-tell-fbi-she-has-no-knowledge-of-/,Leland Keyser to tell FBI she has no knowledge of Kavanaugh or party
108,washingtontimes,http://www.washingtontimes.com/news/2018/sep/29/chuck-grassley-asks-fbi-probe-false-allegation-aga/,Chuck Grassley asks FBI to probe false allegation against Brett Kavanaugh
109,washingtontimes,http://www.washingtontimes.com/news/2018/sep/20/cory-bookers-1992-column-detailing-groping-high-sc/,Cory Booker's 1992 column detailing 'groping' of high school friend resurfaces
110,washingtontimes,http://www.washingtontimes.com/news/2018/sep/29/muellers-office-cites-watergate-precedent-support-/,Mueller's office cites Watergate precedent in defending special counsel's authority
111,washingtontimes,http://www.washingtontimes.com/news/2018/sep/22/christine-blasey-ford-could-indeed-be-lying/,Christine Blasey Ford could indeed be lying
112,washingtontimes,http://www.washingtontimes.com/news/2018/sep/29/nancy-pelosi-slams-hysterical-brett-kavanaugh-disc/,"Nancy Pelosi slams ‘hysterical’ Brett Kavanaugh, discusses potential impeachment proceedings"
113,washingtontimes,http://www.washingtontimes.com/news/2018/sep/29/trump-fbi-probe-could-be-blessing-disguise-suggest/,"Trump: FBI probe 'could be a blessing in disguise,' suggests Feinstein leaked Kavanaugh allegation"
114,washingtontimes,http://www.washingtontimes.com/news/2018/sep/27/gofundme-pages-christine-blasey-ford-exceed-goals/,GoFundMe pages for Christine Blasey Ford soar past goals as she testifies to Judiciary Committee
115,washingtontimes,http://www.washingtontimes.com/news/2018/sep/29/steve-bannon-predicts-impeachment-president-trump-/,Steve Bannon predicts impeachment for President Trump pending midterm results
116,washingtontimes,http://www.washingtontimes.com/news/2018/sep/29/andrew-gillum-campaign-loses-manny-orozco-ballesta/,Andrew Gillum campaign loses Manny Orozco-Ballestas after offensive tweets emerge
117,foxnews.com/politics,http://www.foxnews.com/politics/2018/09/29/trump-defends-kavanaugh-derides-dems-for-shameful-conduct-bad-things-will-happen-if-voters-stay-home.html,"Trump defends Kavanaugh, derides Dems for shameful conduct: ‘Bad things will happen’ if voters stay home"
118,foxnews.com/politics,http://www.foxnews.com/politics/2018/09/29/fbi-contacts-2nd-kavanaugh-accuser-trump-says-extra-scrutiny-may-be-blessing-in-disguise.html,FBI contacts 2nd Kavanaugh accuser; Trump says extra scrutiny may be 'blessing in disguise'
119,foxnews.com/politics,http://insider.foxnews.com/2018/09/29/brett-kavanaugh-fbi-probe-bill-cassidy-says-fbi-should-investigate-democrats,Cassidy: FBI Should Investigate Dems' Efforts to Delay Kavanaugh Confirmation
120,foxnews.com/politics,http://insider.foxnews.com/2018/09/29/jeff-flake-calls-brett-kavanaugh-fbi-investigation-dan-bongino-reacts,'Jeff Flake Has No Spine': Bongino Says Lawmaker 'Sold Out the GOP' With Call for Kavanaugh Probe
121,foxnews.com/politics,http://www.foxnews.com/politics/2018/09/29/flake-defends-call-for-kavanaugh-delay-were-coming-apart-at-seams.html,Flake defends call for Kavanaugh delay: 'We're coming apart at the seams'
122,foxnews.com/politics,http://www.foxnews.com/politics/2018/09/29/maryland-authorities-say-theyll-investigate-kavanaugh-if-victim-files-complaint.html,Maryland authorities say they'll investigate Kavanaugh -- if a victim files a complaint
123,foxnews.com/politics,http://www.foxnews.com/entertainment/2018/09/29/usa-today-hit-piece-says-kavanaugh-should-stay-off-basketball-courts-when-kids-are-around.html,USA Today hit piece says Kavanaugh should 'stay off basketball courts when kids are around'
124,foxnews.com/politics,http://www.foxnews.com/politics/2018/09/29/graham-says-mccains-anger-at-kavanaugh-hearing-would-have-made-me-look-like-choir-boy.html,Graham says McCain's anger at Kavanaugh hearing 'would have made me look like a choir boy'
125,foxnews.com/politics,http://www.foxnews.com/politics/2018/08/21/who-is-patrick-morrisey-look-at-west-virginia-senate-hopeful.html,Who is Patrick Morrisey? A look at the West Virginia Senate hopeful
126,foxnews.com/politics,http://www.foxnews.com/politics/2018/09/29/white-house-limits-fbis-kavanaugh-inquiry-to-2-3-accusers-report.html,White House limits FBI's Kavanaugh inquiry to 2 of 3 accusers: report
127,foxnews.com/politics,http://www.foxnews.com/opinion/2018/09/29/kavanaugh-horror-show-is-what-washington-will-look-like-if-democrats-take-back-power.html,Kavanaugh hearing is what Washington will look like if Democrats take back power
128,foxnews.com/politics,http://insider.foxnews.com/2018/09/29/brett-kavanaugh-friend-high-school-reacts-hearings-fbi-investigation,"'It Was Heartbreaking': Friend of Kavanaugh Reacts to Hearings, FBI Probe"
129,foxnews.com/politics,http://www.foxnews.com/opinion/2018/09/29/steve-hilton-kavanaugh-hearing-shows-divisive-democrats-must-be-defeated-before-destroy-america.html,Steve Hilton: Kavanaugh hearing shows divisive Democrats must be defeated before they destroy America
130,foxnews.com/politics,http://www.foxnews.com/opinion/2018/09/29/john-fund-kavanaugh-debate-is-exactly-why-our-founders-thought-early-voting-was-bad-idea.html,John Fund: Kavanaugh debate is exactly why our founders thought early voting was a bad idea
131,foxnews.com/politics,http://insider.foxnews.com/2018/09/28/brett-kavanaugh-christine-ford-michael-avenatti-claims-lead-partisan-circus-ted-cruz-says,'This Is About Smears': Cruz Says Kavanaugh Confirmation Has Become 'a Partisan Circus'
132,foxnews.com/politics,http://www.foxnews.com/us/2018/09/29/washington-man-gets-prison-for-overharvesting-sea-cucumbers.html,Washington man gets prison for overharvesting sea cucumbers
133,foxnews.com/politics,http://www.foxnews.com/food-drink/2018/09/28/georgias-breakfast-buffet-bandit-no-longer-freeloading-at-area-hotels-but-still-at-large-police-say.html,"Georgia's breakfast-buffet 'bandit' no longer freeloading at area hotels, but still at large, police say"
134,foxnews.com/politics,http://www.foxnews.com/food-drink/2018/09/28/freak-accident-at-jack-in-box-drive-thru-kills-missouri-man-20.html,"Freak accident at Jack in the Box drive-thru kills Missouri man, 20"
135,foxnews.com/politics,http://www.foxnews.com/politics/2018/09/29/russia-north-korea-use-un-general-assembly-to-blast-us.html,"Russia, North Korea use UN General Assembly to blast US"
136,foxnews.com/politics,http://www.foxnews.com/us/2018/09/29/barrier-collapse-at-global-citizen-festival-in-central-park-sends-thousands-into-panic.html,Barrier collapse at Global Citizen Festival in Central Park sends thousands into panic
137,foxnews.com/politics,http://www.foxnews.com/us/2018/09/29/graphic-photos-texas-man-disfigured-by-savage-dog-attack.html,Graphic photos: Texas man disfigured by savage dog attack
138,foxnews.com/politics,http://www.foxnews.com/sports/2018/09/29/david-wright-walks-off-to-long-ovation-in-farewell-game-with-mets.html,David Wright walks off to long ovation in farewell game with Mets
139,foxnews.com/politics,http://www.foxnews.com/entertainment/2018/09/29/kanye-west-announces-his-new-name-is-ye-ahead-snl-appearance.html,Kanye West announces his new name is 'Ye' ahead of 'SNL' appearance
140,foxnews.com/politics,http://www.foxnews.com/entertainment/2018/09/29/season-7-last-man-standing-debuts-on-new-network-fox-to-big-friday-night-ratings.html,"Season 7 of ‘Last Man Standing’ debuts on new network, Fox, to big Friday-night ratings"
141,foxnews.com/politics,http://insider.foxnews.com/2018/09/29/nancy-pelosi-calls-republicans-despicable-misleading-fundraising-email,LOOK: Pelosi Calls Republicans 'Despicable' in Misleading Fundraising Email
142,foxnews.com/politics,http://www.foxnews.com/us/2018/09/29/sarah-palins-eldest-son-track-arrested-on-domestic-violence-charges-police.html,"Sarah Palin's eldest son, Track, arrested on domestic violence charges: police"
143,foxnews.com/politics,http://www.foxnews.com/entertainment/2018/09/29/lindsay-lohan-gets-punched-in-face-after-accusing-refugee-parents-trafficking-trying-to-take-kids.html,"Lindsay Lohan gets punched in the face after accusing refugee parents of trafficking, trying to take the kids"
144,foxnews.com/politics,http://insider.foxnews.com/2018/09/29/barbra-streisand-blasts-president-trump-song-walls-album,'Don't Lie to Me': Barbra Streisand Blasts President Trump in Song Off 'Walls' Album
